,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_paraguay_beef,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_emissions_cattle_deforestation_5_year_total_exposure,land_use,department_trase_id
0,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},SAN PEDRO,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,35849.718643,,2646.4262302262605,1009106.1257984518,50104.31092770662,PY-02
1,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,0.0,{NONE},ALTO PARAGUAY,ASUNCION,FRIGORIFICO CONCEPCION,FRIGORIFICO CONCEPCION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,20208.64185158427,47605436.86799996,89439.6091931602,20518099.41138103,388841.1263606864,PY-17
2,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},CONCEPCION,ASUNCION,JBS PARAGUAY,MINERVA,CHILE,CHILE,19790.500533626844,64072619.42500008,2297.281301943404,875983.7586398397,29057.823128631073,PY-01
3,2019,CHACO HUMEDO,PARAGUAY,BEEF,,{UNKNOWN},PARAGUARI,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,17618.016071,,825.93259340848,314906.5334149825,19942.476095224672,PY-09
4,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},PRESIDENTE HAYES,ASUNCION,JBS PARAGUAY,MINERVA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,17369.860140816614,41217408.77999998,13583.056931517183,4088977.807540545,109142.24243965304,PY-15
5,2019,CHACO HUMEDO,PARAGUAY,BEEF,,{UNKNOWN},MISIONES,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,17230.976064,,881.3644256736,336087.08655262843,14187.709904247971,PY-08
6,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},CANINDEYU,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,15449.227482,,,,,PY-14
7,2019,CHACO SECO,PARAGUAY,BEEF BONELESS,,{NONE},BOQUERON,VILLA HAYES,FRIGORIFICO GUARANI,FRIGORIFICO GUARANI,CHILE,CHILE,15272.838832076071,49617948.14999999,113921.32667556198,25347507.25085522,415290.86635185673,PY-16
8,2019,CHACO SECO,PARAGUAY,BEEF,,{UNKNOWN},BOQUERON,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,15062.300513,,112350.90451050804,24998088.152805444,409566.0209651736,PY-16
9,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},CAAGUAZU,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,12453.682819,,429.77659408369,163885.98257222516,3054.831887413912,PY-05
10,2019,MATA ATLANTICA,PARAGUAY,BEEF,,{UNKNOWN},ITAPUA,,DOMESTIC,DOMESTIC,PARAGUAY,PARAGUAY,12401.153429,,587.8146725346,224118.60523025956,4854.970693433604,PY-07
11,2019,CHACO HUMEDO,PARAGUAY,BEEF BONELESS,4.0,{NONE},NEEMBUCU,ASUNCION,FRIGOMERC,MINERVA,CHILE,CHILE,11167.177308957384,36361911.186,88.55571606003204,33755.47353887784,3662.244075181138,PY-12
