,year,country_of_production,coffee_bean,water_shortage_index,department,municipality_of_export,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,department_trase_id
0,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,A LA ORDEN,A LA ORDEN,UNITED STATES,UNITED STATES,19992.31500000001,89229414.98999998,CO-00
1,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,OLAM AMERICAS,OLAM,UNITED STATES,UNITED STATES,14351.644,63591561.53999998,CO-00
2,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,A LA ORDEN,A LA ORDEN,JAPAN,JAPAN,13974.644999999997,62700789.950000025,CO-00
3,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CARCAFE LTD,CARCAFE LTD,STARBUCKS MANUF EMEA B V,STARBUCKS MANUF EMEA B V,UNITED STATES,UNITED STATES,9906.906000000004,44982615.55,CO-00
4,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,A LA ORDEN,A LA ORDEN,UNITED STATES,UNITED STATES,8690.238999999998,40815224.20000002,CO-00
5,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,MCT USA INC,MCT USA INC,UNITED STATES,UNITED STATES,6942.909,27728322.709999997,CO-00
6,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,A LA ORDEN,A LA ORDEN,GERMANY,EUROPEAN UNION,6182.132999999998,26171691.289999995,CO-00
7,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,A LA ORDEN,A LA ORDEN,CANADA,CANADA,6178.647999999997,26747350.289999995,CO-00
8,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,OLAM AMERICAS,OLAM,UNITED STATES,UNITED STATES,5936.9860000000035,27023207.00999999,CO-00
9,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,OLAM AMERICAS,OLAM,CANADA,CANADA,5769.0059999999985,26002703.980000004,CO-00
10,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,IND COL DE CAFE S A S,IND COL DE CAFE S A S,STURM FOODS INC,STURM FOODS INC,UNITED STATES,UNITED STATES,5449.500000000024,28784628.58999994,CO-00
11,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SKN CARIBECAFE LTD,SKN CARIBECAFE LTD,ROTHFOS CORP,ROTHFOS CORP,UNITED STATES,UNITED STATES,5309.352999999998,24185426.21,CO-00
