,year,biome,country_of_production,product_type,zero_deforestation_bolivia_soy,province_of_production,municipality_of_production,port_of_export,exporter_group,importer_group,country,economic_bloc,volume,co2_gross_emissions_soy_deforestation_5_year_total_exposure,land_use,soy_deforestation_5_year_total_exposure,province_of_production_trase_id,municipality_of_production_trase_id
0,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},WARNES,OKINAWA UNO,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,1588.959542524164,8372.012374802534,12.657651269987102,BO-0702,BO-070202
1,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},CHIQUITOS,PAILON,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,212627.4556985276,8372.012374802533,825.4361639202804,BO-0705,BO-070502
2,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},CHIQUITOS,PAILON,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,212627.4556985276,8372.012374802533,825.4361639202804,BO-0705,BO-070502
3,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},CHIQUITOS,PAILON,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,212627.4556985276,8372.012374802533,825.4361639202804,BO-0705,BO-070502
4,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,CUATRO CANADAS,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,164523.6670004063,8372.012374802536,525.0268862074378,BO-0711,BO-071106
5,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,CUATRO CANADAS,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,164523.6670004063,8372.012374802536,525.0268862074378,BO-0711,BO-071106
6,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,CUATRO CANADAS,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,164523.6670004063,8372.012374802536,525.0268862074378,BO-0711,BO-071106
7,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,CUATRO CANADAS,UNKNOWN,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,BOLIVIA,BOLIVIA,25572.97309841041,164523.6670004063,8372.012374802536,525.0268862074378,BO-0711,BO-071106
8,2021,DRY CHACO,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},CORDILLERA,CABEZAS,YACUIBA,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,20061.075432630212,32933.32408450951,6567.541878197448,173.29838059799977,BO-0707,BO-070703
9,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEANS,{UNKNOWN},SARA,SANTA ROSA DEL SARA,DESAGUADERO,SOYAGRAIN SRL,SEABOARD OVERSEAS PERU SA,PERU,PERU,14646.144322970153,70109.01908333617,4794.816036570724,219.69679043964592,BO-0706,BO-070602
