,year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id
0,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,CHILE,CHILE,146817.00999999998,48351961.748491794,65145.73837633885,161.498711,PY-10
1,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,,{NONE},SAN PEDRO,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,UNITED KINGDOM,EUROPEAN UNION,71379.84999999999,22686165.058938418,29443.337742911703,1477.5628949999996,PY-02
2,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,CHILE,CHILE,70224.1,23127246.141817693,28246.40967733365,393.25496,PY-05
3,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,POLAND,EUROPEAN UNION,56005.920000000006,16261330.298256263,23101.77477484884,1159.322544,PY-02
4,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,,{NONE},CAAGUAZU,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,UNITED KINGDOM,EUROPEAN UNION,55450.43000000001,17623431.63083603,22303.96064263283,310.522408,PY-05
5,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,INDIA,INDIA,43674.6,28470709.85773629,19379.32168276175,48.04206,PY-10
6,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,POLAND,EUROPEAN UNION,43507.42,12632388.15345074,17500.094829607202,243.64155199999996,PY-05
7,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,,{NONE},ITAPUA,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,UNITED KINGDOM,EUROPEAN UNION,40857.88,12985581.34725955,15559.716452403189,57.201031999999984,PY-07
8,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,CHILE,CHILE,40224.34,13666072.436855074,17848.370090093118,44.246774,PY-10
9,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,ASUNCION,CARGILL AGROPECUARIA SACI,CARGILL,CHILE,CHILE,39157.939999999995,12921094.32804321,15750.592963960378,219.28446399999993,PY-05
10,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,ASUNCION,CARGILL AGROPECUARIA SACI,CARGILL,CHILE,CHILE,33904.85,11187709.810208036,13985.346700402984,701.8303949999998,PY-02
11,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,PERU,PERU,33330.94,11262478.31567771,14789.626195748357,36.66403400000001,PY-10
12,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,4.0,"{""COMPANY COMMITMENT""}",AMAMBAY,VILLETA,ADM PARAGUAY,ADM,INDIA,INDIA,32676.11,17955920.803509593,12349.36945803606,294.08499,PY-13
13,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",AMAMBAY,VILLETA,ADM PARAGUAY,ADM,THAILAND,THAILAND,32640.56,9450544.964176914,12335.933951660512,293.76504,PY-13
14,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ITAPUA,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,POLAND,EUROPEAN UNION,32057.840000000004,9308000.13374073,12208.438139142538,44.880976,PY-07
15,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,VILLETA,LOUIS DREYFUS PARAGUAY,LOUIS DREYFUS,POLAND,EUROPEAN UNION,28544.980000000003,9527836.26725281,11774.464180082472,590.881086,PY-02
16,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,ANTEQUERA,CARGILL AGROPECUARIA SACI,CARGILL,ARGENTINA,ARGENTINA,27491.25,8812436.521380696,12299.872956656356,125.0851875,PY-14
17,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,ANTEQUERA,CARGILL AGROPECUARIA SACI,CARGILL,ARGENTINA,ARGENTINA,27491.25,8812436.521380696,12299.872956656356,125.0851875,PY-14
18,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,ANTEQUERA,CARGILL AGROPECUARIA SACI,CARGILL,ARGENTINA,ARGENTINA,27491.25,8812436.521380696,11339.813108668925,569.0688749999999,PY-02
19,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,ANTEQUERA,CARGILL AGROPECUARIA SACI,CARGILL,ARGENTINA,ARGENTINA,27491.25,8812436.521380696,12299.872956656356,125.0851875,PY-14
20,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,ANTEQUERA,CARGILL AGROPECUARIA SACI,CARGILL,ARGENTINA,ARGENTINA,27491.25,8812436.521380696,12198.435182262094,30.240375,PY-10
21,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,,{UNKNOWN},ALTO PARANA,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,27491.25,8344373.861189031,12198.435182262094,30.240375,PY-10
