,year,country_of_wood_production,province_of_wood_production,pulp_wood_source,wood_supplier,wood_supplier_corporate_group,pulp_mill,pulp_mill_corporate_group,zero_deforestation_indonesia_wood_pulp,product_type,pulp_grade,province_of_pulp_export,importer,importer_corporate_group,country_of_importer,country_of_destination,volume,annual_woodpulp_deforestation,burned_area,co2_total_emissions_wood_pulp_exposure,concession_area,concession_deforestation,deforestation_on_peat,land_use,peat_area,remaining_forest,wood_pulp_deforestation_10_year_total_exposure,wood_pulp_production_volume_m3,province_of_wood_production_trase_id,wood_supplier_trase_id,co2_emissions_wood_pulp_burned_peat_exposure,co2_emissions_wood_pulp_subsidence_co2_exposure,co2_gross_emissions_wood_pulp_deforestation_exposure,co2_net_emissions_wood_pulp_deforestation_exposure
0,2022,INDONESIA,RIAU,PLANTATION,PT ARARA ABADI,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,834257.4383451411,0.0,23.680567040005627,4522298.861846396,200304.4443645916,170.42748881530076,0.0,127763.4250571275,86468.57566513598,12101.499596501308,1889.709249792449,3736263.034211192,ID-14,ID-WOOD-CONCESSION-0471,0.0,4522321.865825806,0.0,-23.00397941029118
1,2022,INDONESIA,JAMBI,PLANTATION,PT WIRA KARYA SAKTI,SINAR MAS,LONTAR PAPYRUS,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,JAMBI,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,781341.7694354466,0.0,76.00115710732803,4300895.049172325,213917.9235380926,160.2085983237718,0.0,141304.03368772453,77347.56976314117,16551.87544643418,18849.032072000755,3336435.8948240317,ID-15,ID-WOOD-CONCESSION-0517,58927.72069598181,4248196.442921611,0.0,-6229.114445267277
2,2022,INDONESIA,RIAU,PLANTATION,PT RIAU ANDALAN PULP & PAPER,ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,DISSOLVING PULP,RIAU,APRIL FAR EAST MALAYSIA SDN BHD,ROYAL GOLDEN EAGLE / TANOTO,MALAYSIA,CHINA (MAINLAND),479923.55456500733,0.0,2.1772911069478775,3976022.705545827,147281.98601304638,50.58421021684607,0.0,97699.84200918656,84132.27020535154,23024.76078023111,21399.28791552652,2374729.1709005754,ID-14,ID-WOOD-CONCESSION-0476,1922.548047434976,3974099.722040171,0.0,0.0
3,2022,INDONESIA,RIAU,PLANTATION,PT RIAU ANDALAN PULP & PAPER,ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,337157.57427485054,0.0,1.5295981643870649,2793249.378807011,103469.05599069723,35.536596299756724,0.0,68636.43475200926,59104.8967504477,16175.435481506283,15033.502598861827,1668303.0436925823,ID-14,ID-WOOD-CONCESSION-0476,1350.6351791537784,2791898.437708224,0.0,0.0
4,2022,INDONESIA,RIAU,PLANTATION,PT SUMATERA RIANG LESTARI (RIAU),ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,DISSOLVING PULP,RIAU,APRIL FAR EAST MALAYSIA SDN BHD,ROYAL GOLDEN EAGLE / TANOTO,MALAYSIA,CHINA (MAINLAND),184725.33724068868,27.869326168932737,0.0,1883243.1529141248,46431.60377210611,86.77124948773238,27.869326168932737,25951.132703711657,46217.793785403825,14721.646594461488,25331.911112895683,914046.8377748996,ID-14,ID-WOOD-CONCESSION-0461,0.0,1902937.1864346897,16601.409232256116,-19694.46897878626
5,2022,INDONESIA,RIAU,PLANTATION,PT SEKATO PRATAMA MAKMUR,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,171658.58700057695,0.0,0.0,1376118.3459525087,31108.82262664051,50.17573861962406,0.0,18804.3999926536,29355.10749042067,7994.437965334007,132.61117542403142,768781.4899022254,ID-14,ID-WOOD-CONCESSION-0481,0.0,1376118.3459525087,0.0,0.0
6,2022,INDONESIA,RIAU,PLANTATION,PT SATRIA PERKASA AGUNG (SK 244),SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,161492.77150746452,0.0,0.0,1664358.2079634531,51946.3684465859,105.91087839479448,0.0,22677.187585139032,50640.55432123702,25122.18758558441,3142.749540023594,723253.231711109,ID-14,ID-WOOD-CONCESSION-0482,0.0,1664358.2079634531,0.0,0.0
7,2022,INDONESIA,RIAU,PLANTATION,PT BUKIT BATU HUTANI ALAM,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,147986.95705541922,0.0,0.0,1370957.3355130474,21942.413419269204,0.0,0.0,18994.52111660336,21430.23658357537,2732.9002154417453,207.712402322335,662766.9742022692,ID-14,ID-WOOD-CONCESSION-0483,0.0,1370957.3355130474,0.0,0.0
8,2022,INDONESIA,RIAU,PLANTATION,PT SUMATERA RIANG LESTARI (RIAU),ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,129773.89006802344,19.57885650415436,0.0,1323022.567170625,32619.292694819796,60.95884170677633,19.57885650415436,18231.28052132936,32469.086155076988,10342.302660304047,17796.262803377682,642139.3817127999,ID-14,ID-WOOD-CONCESSION-0461,0.0,1336858.0884871392,11662.88008381845,-13835.827236146708
9,2022,INDONESIA,JAMBI,PLANTATION,PT RIMBA HUTANI MAS (JAMBI),SINAR MAS,LONTAR PAPYRUS,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,JAMBI,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,123497.39697586262,0.0,0.0,0.0,28085.661328709684,46.91732977286264,0.0,16245.75034297014,0.0,3973.7908149264126,335.60104478904947,524111.8283951017,ID-15,ID-WOOD-CONCESSION-0416,0.0,0.0,0.0,0.0
10,2022,INDONESIA,KALIMANTAN TIMUR,PLANTATION,PT SURYA HUTANI JAYA,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,111526.05308978767,0.0,0.0,-1028.202074417839,91329.56515032242,2.422910721985996,0.0,47451.26596812652,1979.4188763827117,52.92147103285344,0.0,510157.7854315587,ID-64,ID-WOOD-CONCESSION-0354,0.0,52.89785591860264,0.0,-1081.572232621429
